pl_name,pl_name,t0,period,rstar,rp_rstar,a_rstar,a_rp,b,half_duration,rho_star,T_s,mstar,mass
HAT-P-54 b,HAT-P-54 b,2456299.3037,3.799847,0.62,0.1572,14.278828788639428,91.25923797683123,0.741,,2.0830599999999997,4390.0,0.65,0.76
HAT-P-55 b,HAT-P-55 b,2456730.83468,3.5852467,1.01,0.1202,9.802059848586152,81.50529126953539,0.392,0.061149999999999996,1.22933,5808.0,1.01,0.582
HAT-P-56 b,HAT-P-56 b,2456774.09164,2.79083,1.47,0.1054,6.187659989703513,58.61805248630606,0.8725,0.047315,0.63,6566.0,1.42,2.31
HAT-P-57 b,HAT-P-57 b,2455113.48127,2.4653,1.85,0.0968,4.719084064986072,48.82528091254965,0.177,0.07288999999999998,0.62,6330.0,2.77,1.41
HAT-P-6 b,HAT-P-6 b,2454035.67616,3.85298,1.62,0.0934,6.95403372566666,74.07209846549642,0.602,0.07305,0.59,6570.0,1.79,1.32
HAT-P-65 b,HAT-P-65 b,2456409.33263,2.6054552,1.86,0.1045,4.5676991777114715,43.74346596042715,0.464,0.09094999999999999,0.266,5835.0,1.21,0.527
HAT-P-66 b,HAT-P-66 b,2457258.79907,2.972086,1.88,0.0872,4.990347314843614,57.41905677128145,0.33,0.0979,0.269,6002.0,1.25,0.783
HAT-P-67 b,HAT-P-67 b,2455961.38467,4.8101025,2.55,0.0834,5.485428127987892,65.28436841441633,0.12,0.1456,0.09809,6406.0,1.64,0.34
HAT-P-68 b,HAT-P-68 b,2456614.20355,2.29840551,0.67,0.1644,9.615467737148668,58.48102676465836,0.212,0.043475,3.165,4508.0,0.68,0.724
HAT-P-69 b,HAT-P-69 b,2458495.7886099997,4.7869491,1.93,0.08703,7.303294199069636,81.84019341504339,0.366,0.1068,0.36453,7394.0,1.65,3.58
HAT-P-7 b,HAT-P-7 b,2454954.358572,2.20474,2.0,0.07541,3.952291021224666,50.940889111031,0.496,0.08087833333333333,0.27,6389.0,1.56,1.84
HAT-P-70 b,HAT-P-70 b,2458439.5751900002,2.74432452,1.86,0.09887,5.478695622165189,53.028954830688946,-0.629,0.0725,0.40362,8450.0,1.89,6.78
HAT-P-8 b,HAT-P-8 b,2454437.67582,3.07634,1.57,0.0953,6.15786351525339,67.19952948453773,0.32,0.07935,0.46,6200.0,1.27,1.28
HAT-P-9 b,HAT-P-9 b,2455484.913088,3.92281072,1.34,0.10695999999999999,8.484141843508846,79.41931910101017,0.51,0.06999999999999999,0.755,6350.0,1.28,0.749
HATS-1 b,HATS-1 b,2455241.2872200003,3.446459,1.04,0.1288,9.180218953627227,71.35755340741294,0.633,0.05034999999999999,2.18527,5870.0,0.99,1.855
HATS-10 b,HATS-10 b,2456457.88193,3.312846,1.1,0.0903,8.779176464694812,96.98113072899625,0.34,0.06265,1.15,5880.0,1.1,0.526
HATS-11 b,HATS-11 b,2457313.27367,3.619188,1.54,0.1071,7.079305384738159,65.93558755925422,0.14,0.09101,0.479,6563.0,1.33,0.83
HATS-12 b,HATS-12 b,2457311.2387599996,3.142702,1.17,0.0606,8.105058175274488,133.3522845732931,0.43,0.094245,0.269,6357.0,1.16,2.39
HATS-13 b,HATS-13 b,2456340.31705,3.0440499,0.89,0.1402,9.802083770285526,70.04390546754384,0.249,0.05489,1.93,5523.0,0.96,0.543
HATS-14 b,HATS-14 b,2456408.76462,2.7667641,0.93,0.1145,8.820942729926228,76.83285302407958,0.18,0.055045,1.682,5346.0,0.97,1.071
